reg_code,National,ISO3,ISO3-numeric,ISO2,FIPS,COACCH,IMAGE26,NGFS downscaled,Continent,Sub-region
DZA,DZA,DZA,12,DZ,AG,NAF,NAF,DZA,Africa,Northern Africa
ECU,ECU,ECU,218,EC,EC,Laca,RSAM,ECU,Americas,Latin America and the Caribbean
EGY,EGY,EGY,818,EG,EG,NAF,NAF,EGY,Africa,Northern Africa
ERI,ERI,ERI,232,ER,ER,SSA,EAF,ERI,Africa,Sub-Saharan Africa
ESH,XXX,ESH,732,EH,WI,NAF,NAF,,Africa,Northern Africa
ESP,ESP,ESP,724,ES,SP,WEU,WEU,ESP,Europe,Southern Europe
EST,EST,EST,233,EE,EN,FSU,CEU,EST,Europe,Northern Europe
ETH,ETH,ETH,231,ET,ET,SSA,EAF,ETH,Africa,Sub-Saharan Africa
FIN,FIN,FIN,246,FI,FI,WEU,WEU,FIN,Europe,Northern Europe
FJI,FJI,FJI,242,FJ,FJ,OCE,OCE,,Oceania,Melanesia
FLK,XXX,FLK,238,FK,FA,Laca,RSAM,,Americas,Latin America and the Caribbean
FRA,FRA,FRA,250,FR,FR,WEU,WEU,FRA,Europe,Western Europe
FRO,DNK,FRO,234,FO,FO,WEU,WEU,,Europe,Northern Europe
FSM,FSM,FSM,583,FM,FM,OCE,OCE,,Oceania,Micronesia
GAB,GAB,GAB,266,GA,GB,SSA,WAF,GAB,Africa,Sub-Saharan Africa
GBR,GBR,GBR,826,GB,UK,WEU,WEU,GBR,Europe,Northern Europe
GEO,GEO,GEO,268,GE,GG,FSU,RUS,GEO,Asia,Western Asia
GGY,GBR,GGY,831,GG,GK,WEU,WEU,,Europe,Northern Europe
GHA,GHA,GHA,288,GH,GH,SSA,WAF,GHA,Africa,Sub-Saharan Africa
GIB,GBR,GIB,292,GI,GI,WEU,WEU,GIB,Europe,Southern Europe
GIN,GIN,GIN,324,GN,GU,SSA,WAF,,Africa,Sub-Saharan Africa
GLP,FRA,GLP,312,GP,GP,Laca,WEU,,Americas,Latin America and the Caribbean
GMB,GMB,GMB,270,GM,GA,SSA,WAF,,Africa,Sub-Saharan Africa
GNB,GNB,GNB,624,GW,PU,SSA,WAF,,Africa,Sub-Saharan Africa
GNQ,GNQ,GNQ,226,GQ,EK,SSA,WAF,,Africa,Sub-Saharan Africa
GRC,GRC,GRC,300,GR,GR,WEU,WEU,GRC,Europe,Southern Europe
GRD,GRD,GRD,308,GD,GJ,Laca,RCAM,,Americas,Latin America and the Caribbean
GRL,DNK,GRL,304,GL,GL,WEU,WEU,,Americas,Northern America
GTM,GTM,GTM,320,GT,GT,Laca,RCAM,GTM,Americas,Latin America and the Caribbean
GUF,FRA,GUF,254,GF,FG,Laca,WEU,,Americas,Latin America and the Caribbean
GUM,USA,GUM,316,GU,GQ,USA,USA,,Oceania,Micronesia
